image_name,ocr_blocks,ocr_confidence,word_count,mixed_script,scripts_detected,handwritten_blocks,segments_found,layout_confidence,zone_prescriber,zone_patient,zone_drug,zone_dosage,zone_duration,zone_clinical,zone_annotation,bbox_prescriber,bbox_patient,bbox_drug,bbox_dosage,bbox_duration,bbox_clinical,bbox_annotation,conf_prescriber,conf_patient,conf_drug,conf_dosage,conf_duration,conf_clinical,conf_annotation,status,error_msg
74.jpg,19,medium,75,0,latin,8,6,medium,1,1,1,1,1,0,1,1,0,0,1,1,0,1,high,medium,high,medium,medium,,low,success,
75.jpg,8,medium,40,0,latin,3,6,high,1,1,1,1,1,0,1,0,1,0,0,0,0,0,high,high,high,high,high,,low,success,
76.jpg,3,medium,11,1,latin|devanagari,2,3,medium,0,0,1,1,1,0,0,0,0,0,0,1,0,0,,,high,medium,low,,,success,
77.jpg,14,medium,54,0,latin,7,6,medium,1,1,1,1,0,1,1,1,1,0,1,0,0,0,high,medium,high,medium,,low,low,success,
78.jpg,31,medium,67,0,latin,23,3,medium,0,1,0,0,0,1,1,0,1,0,0,0,1,0,,medium,,,,high,low,success,
79.jpg,17,medium,60,0,latin,4,3,low,1,1,0,0,0,0,0,1,1,0,0,0,0,0,high,medium,,,,,,success,
80.jpg,21,medium,115,0,latin,14,4,medium,1,1,0,0,0,1,0,1,0,0,0,0,1,0,high,high,,,,medium,,success,
81.jpg,25,medium,80,0,latin,10,1,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,success,
82.jpg,25,medium,56,0,latin,16,6,medium,0,1,1,1,1,1,1,0,1,1,1,0,1,0,,high,high,medium,high,medium,low,success,
83.jpg,17,high,66,0,latin,0,8,high,1,1,1,1,1,1,1,1,0,0,0,1,0,1,high,high,high,high,medium,high,low,success,
84.jpg,47,medium,171,1,latin|bengali,29,9,high,1,1,1,1,0,1,0,1,0,1,0,0,1,0,high,high,high,medium,,high,,success,
85.jpg,33,high,134,0,latin,6,6,medium,1,1,0,0,0,1,1,1,1,0,0,0,1,1,high,high,,,,high,low,success,
86.jpg,6,low,15,0,latin,6,1,low,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,low,success,
87.jpg,27,medium,72,0,latin,10,4,medium,1,1,0,0,0,1,0,1,1,0,0,0,1,0,high,medium,,,,high,,success,
88.jpg,36,medium,77,0,latin,11,0,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,success,
89.jpg,22,medium,55,0,latin,6,5,medium,1,1,1,1,0,0,1,1,1,1,1,0,0,1,high,medium,high,high,,,medium,success,
90.jpg,15,medium,57,1,latin|bengali,4,6,medium,1,1,1,1,0,1,1,1,1,0,1,0,0,1,high,medium,high,medium,,medium,low,success,
91.jpg,36,medium,122,1,latin|devanagari,16,3,medium,1,0,0,0,0,1,1,1,0,0,0,0,1,1,medium,,,,,medium,low,success,
92.jpg,18,medium,68,0,latin,8,7,medium,1,1,1,1,1,1,0,1,1,1,1,1,0,0,high,medium,high,high,high,low,,success,
93.jpg,9,medium,20,0,latin,7,3,low,0,0,1,1,0,0,1,0,0,1,1,0,0,1,,,medium,medium,,,low,success,
94.jpg,15,high,68,0,latin,4,7,medium,1,1,1,1,0,1,1,1,1,0,1,0,1,1,high,medium,high,medium,,medium,low,success,
95.jpg,31,high,115,0,latin,4,5,medium,1,1,0,0,0,1,1,1,1,0,0,0,1,0,high,high,,,,high,medium,success,
96.jpg,17,high,41,0,latin,0,5,high,1,1,1,1,1,0,0,1,1,1,0,0,0,0,high,high,high,high,high,,,success,
97.jpg,19,high,62,0,latin,3,6,high,1,1,1,1,1,0,1,1,1,0,0,0,0,1,high,high,high,high,low,,medium,success,
98.jpg,23,medium,76,0,latin,5,7,high,1,1,1,1,1,1,1,1,1,1,0,0,0,1,high,high,high,high,medium,medium,low,success,
